labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
69.1,21,Gävleborg,2016-01-01,284586,55931,19.653461519540667,80.21680889945532
69.3,22,Västernorrland,2016-01-01,245572,52602,21.42019448471324,79.21581651270824
70.89999999999999,23,Jämtland,2016-01-01,128673,28305,21.997621878715815,71.18766486622283
71.4,24,Västerbotten,2016-01-01,265881,73194,27.528856894625793,79.34717402364663
73.2,25,Norrbotten,2016-01-01,250570,55947,22.32789240531588,82.63945894215021
78.3,01,Stockholm,2016-04-01,2269060,746433,32.89613320053238,96.80103287609475
75.1,03,Uppsala,2016-04-01,361373,110488,30.574503352491746,81.5441433911973
73.10000000000001,04,Södermanland,2016-04-01,288097,58183,20.195628555660072,84.38557410331605
73.39999999999999,05,Östergötland,2016-04-01,452105,114779,25.387686488758142,85.40594757001398
74.8,06,Jönköping,2016-04-01,352735,74511,21.123789813882944,83.82776990371927
74.1,07,Kronoberg,2016-04-01,194628,44542,22.885710175308795,78.6558951554327
72.4,08,Kalmar,2016-04-01,242301,50365,20.786129648660136,79.45674628385343
69.7,09,Gotland,2016-04-01,58003,12562,21.65750047411341,62.10904148734122
73.5,10,Blekinge,2016-04-01,158453,36661,23.136829217496672,83.35135965389465
74.8,12,Skåne,2016-04-01,1324565,357918,27.021550471286798,90.29500002684817
75.2,13,Halland,2016-04-01,320333,76463,23.869847939487972,84.2434812442818
75.89999999999999,14,Västra Götaland,2016-04-01,1671783,442252,26.453911781612803,86.1841155541214
71.5,17,Värmland,2016-04-01,279334,60866,21.789685466144473,75.70821735096266
73.9,18,Örebro,2016-04-01,294941,66602,22.581465445631498,83.91750168377936
72.69999999999999,19,Västmanland,2016-04-01,267629,59689,22.302889447705592,88.2615144772889
72.10000000000001,20,Dalarna,2016-04-01,284531,56366,19.810143710175694,82.53056634926057
70.2,21,Gävleborg,2016-04-01,284586,55931,19.653461519540667,80.21680889945532
71.1,22,Västernorrland,2016-04-01,245572,52602,21.42019448471324,79.21581651270824
72.2,23,Jämtland,2016-04-01,128673,28305,21.997621878715815,71.18766486622283
74.5,24,Västerbotten,2016-04-01,265881,73194,27.528856894625793,79.34717402364663
73.3,25,Norrbotten,2016-04-01,250570,55947,22.32789240531588,82.63945894215021
78.0,01,Stockholm,2016-07-01,2269060,746433,32.89613320053238,96.80103287609475
75.69999999999999,03,Uppsala,2016-07-01,361373,110488,30.574503352491746,81.5441433911973
71.6,04,Södermanland,2016-07-01,288097,58183,20.195628555660072,84.38557410331605
72.6,05,Östergötland,2016-07-01,452105,114779,25.387686488758142,85.40594757001398
74.8,06,Jönköping,2016-07-01,352735,74511,21.123789813882944,83.82776990371927
73.5,07,Kronoberg,2016-07-01,194628,44542,22.885710175308795,78.6558951554327
71.1,08,Kalmar,2016-07-01,242301,50365,20.786129648660136,79.45674628385343
71.5,09,Gotland,2016-07-01,58003,12562,21.65750047411341,62.10904148734122
