;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
207;North Denmark Region;DK-81;2009-06-01;38;100;96;100;53;100;100;66;41;100;96;52;0;100;100;84;0;84;89;100;100;100;North Denmark;DK-81
208;Region Syddanmark;DK-83;2009-06-01;64;37;95;76;100;38;63;100;63;80;89;78;33;47;65;64;60;93;60;91;43;38;Southern Denmark;DK-83
209;Region Zealand;DK-85;2009-06-01;79;30;88;72;88;48;0;94;100;67;68;0;100;42;36;100;100;79;100;66;34;0;Zealand;DK-85
210;Capital Region of Denmark;DK-84;2009-07-01;73;100;100;73;66;47;58;74;72;54;90;55;39;49;16;45;26;69;42;71;80;16;Capital;DK-84
211;Central Denmark Region;DK-82;2009-07-01;68;76;82;84;74;52;100;83;59;78;100;83;24;32;45;44;32;86;36;62;58;58;Central Denmark;DK-82
212;North Denmark Region;DK-81;2009-07-01;69;87;87;62;99;99;88;100;79;100;98;39;100;100;79;100;100;100;55;100;100;0;North Denmark;DK-81
213;Region Syddanmark;DK-83;2009-07-01;100;69;93;93;62;62;69;100;81;84;56;100;88;29;39;13;78;64;50;60;89;0;Southern Denmark;DK-83
214;Region Zealand;DK-85;2009-07-01;78;61;90;100;100;100;74;77;100;79;46;33;0;0;100;43;0;61;100;100;85;100;Zealand;DK-85
215;Capital Region of Denmark;DK-84;2009-08-01;92;87;100;83;94;78;21;73;88;58;100;78;79;100;40;49;100;50;88;72;43;11;Capital;DK-84
216;Central Denmark Region;DK-82;2009-08-01;69;81;90;82;69;52;38;86;82;82;51;100;100;41;74;58;67;71;68;96;56;41;Central Denmark;DK-82
217;North Denmark Region;DK-81;2009-08-01;100;91;98;82;81;99;100;83;66;100;43;63;79;66;100;100;0;100;100;100;100;89;North Denmark;DK-81
